"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"25","滋賀県","25201","大津市","252010001000","葛川坂下町","35.202876","135.859602","3","1"
"25","滋賀県","25201","大津市","252010002000","葛川木戸口町","35.227470","135.861494","3","1"
"25","滋賀県","25201","大津市","252010003000","葛川中村町","35.234924","135.863775","3","1"
"25","滋賀県","25201","大津市","252010004000","葛川坊村町","35.245843","135.866103","3","1"
"25","滋賀県","25201","大津市","252010005000","葛川町居町","35.254273","135.868620","3","1"
"25","滋賀県","25201","大津市","252010006000","葛川梅ノ木町","35.263541","135.874303","3","1"
"25","滋賀県","25201","大津市","252010007000","葛川貫井町","35.270653","135.878302","3","1"
"25","滋賀県","25201","大津市","252010008000","葛川細川町","35.280954","135.880377","3","1"
"25","滋賀県","25201","大津市","252010009000","仰木町","35.114639","135.859151","3","1"
"25","滋賀県","25201","大津市","252010010000","滋賀里町甲","35.045375","135.846187","3","1"
"25","滋賀県","25201","大津市","252010011000","梅林町","34.997560","135.866375","3","1"
"25","滋賀県","25201","大津市","252010012000","松本本宮町","34.994710","135.871627","3","1"
"25","滋賀県","25201","大津市","252010013000","膳所雲雀丘町","34.984170","135.878989","3","1"
"25","滋賀県","25201","大津市","252010014000","大石龍門町","34.899950","135.921209","3","1"
"25","滋賀県","25201","大津市","252010015000","大石中町","34.898948","135.935166","3","1"
"25","滋賀県","25201","大津市","252010016000","大石富川町","34.900413","135.955254","3","1"
"25","滋賀県","25201","大津市","252010017000","田上森町","34.929496","135.944526","3","1"
"25","滋賀県","25201","大津市","252010018000","田上里町","34.916536","135.950745","3","1"
"25","滋賀県","25201","大津市","252010019000","田上石居町","34.956164","135.930326","3","1"
"25","滋賀県","25201","大津市","252010020000","田上稲津町","34.947337","135.917008","3","1"
"25","滋賀県","25201","大津市","252010021000","田上関津町","34.924928","135.930818","3","1"
"25","滋賀県","25201","大津市","252010022000","上田上大鳥居町","34.937182","136.029035","3","1"
"25","滋賀県","25201","大津市","252010023000","上田上桐生町","34.943585","136.018113","3","1"
"25","滋賀県","25201","大津市","252010024000","上田上芝原町","34.959003","135.944844","3","1"
"25","滋賀県","25201","大津市","252010025000","上田上堂町","34.957629","135.939282","3","1"
"25","滋賀県","25201","大津市","252010026000","上田上新免町","34.945677","135.954911","3","1"
"25","滋賀県","25201","大津市","252010027001","神領一丁目","34.974082","135.912561","2","3"
"25","滋賀県","25201","大津市","252010027002","神領二丁目","34.971858","135.918109","2","3"
"25","滋賀県","25201","大津市","252010027003","神領三丁目","34.970997","135.911674","2","3"
"25","滋賀県","25201","大津市","252010027004","神領四丁目","34.969749","135.921514","2","3"
"25","滋賀県","25201","大津市","252010027005","神領五丁目","34.966547","135.921123","3","3"
"25","滋賀県","25201","大津市","252010028000","伊香立向在地町","35.137425","135.875315","2","1"
"25","滋賀県","25201","大津市","252010029000","伊香立生津町","35.138119","135.869736","2","1"
"25","滋賀県","25201","大津市","252010030000","伊香立上在地町","35.143859","135.864706","2","1"
"25","滋賀県","25201","大津市","252010031000","伊香立北在地町","35.146944","135.869543","2","1"
"25","滋賀県","25201","大津市","252010032000","伊香立下在地町","35.143938","135.877029","2","1"
"25","滋賀県","25201","大津市","252010033000","伊香立南庄町","35.128511","135.885655","2","1"
"25","滋賀県","25201","大津市","252010034000","伊香立上龍華町","35.160726","135.877285","2","1"
"25","滋賀県","25201","大津市","252010035000","伊香立下龍華町","35.152241","135.894400","2","1"
"25","滋賀県","25201","大津市","252010036000","伊香立途中町","35.167388","135.859497","2","1"
"25","滋賀県","25201","大津市","252010037000","真野普門町","35.139873","135.911074","2","1"
"25","滋賀県","25201","大津市","252010038000","真野佐川町","35.137997","135.893974","2","1"
"25","滋賀県","25201","大津市","252010039000","真野家田町","35.131334","135.904878","2","1"
"25","滋賀県","25201","大津市","252010040000","真野谷口町","35.125547","135.908110","2","1"
"25","滋賀県","25201","大津市","252010041000","向陽町","35.137175","135.915304","2","1"
"25","滋賀県","25201","大津市","252010042000","美空町","35.137212","135.918690","2","1"
"25","滋賀県","25201","大津市","252010043000","花園町","35.138534","135.913757","2","1"
"25","滋賀県","25201","大津市","252010044000","清風町","35.140036","135.907050","2","1"
"25","滋賀県","25201","大津市","252010045000","陽明町","35.142609","135.905534","2","1"
"25","滋賀県","25201","大津市","252010046000","清和町","35.144916","135.905432","2","1"
"25","滋賀県","25201","大津市","252010047000","緑町","35.147123","135.908303","2","1"
"25","滋賀県","25201","大津市","252010048001","真野一丁目","35.123216","135.913686","2","3"
"25","滋賀県","25201","大津市","252010048002","真野二丁目","35.126423","135.917702","2","3"
"25","滋賀県","25201","大津市","252010048003","真野三丁目","35.126137","135.913729","2","3"
"25","滋賀県","25201","大津市","252010048004","真野四丁目","35.129465","135.916111","2","3"
"25","滋賀県","25201","大津市","252010048005","真野五丁目","35.131068","135.924048","2","3"
"25","滋賀県","25201","大津市","252010048006","真野六丁目","35.135313","135.923124","2","3"
"25","滋賀県","25201","大津市","252010049001","真野普門一丁目","35.134232","135.908628","2","3"
"25","滋賀県","25201","大津市","252010049002","真野普門二丁目","35.133210","135.907642","2","3"
"25","滋賀県","25201","大津市","252010049003","真野普門三丁目","35.136275","135.906448","2","3"
"25","滋賀県","25201","大津市","252010050001","真野大野一丁目","35.134996","135.896754","2","3"
"25","滋賀県","25201","大津市","252010050002","真野大野二丁目","35.132880","135.899059","2","3"
"25","滋賀県","25201","大津市","252010051001","堅田一丁目","35.108085","135.910150","2","3"
"25","滋賀県","25201","大津市","252010051002","堅田二丁目","35.108377","135.914680","2","3"
"25","滋賀県","25201","大津市","252010052001","本堅田一丁目","35.110744","135.918890","2","3"
"25","滋賀県","25201","大津市","252010052002","本堅田二丁目","35.115173","135.922322","2","3"
"25","滋賀県","25201","大津市","252010052003","本堅田三丁目","35.115265","135.916155","2","3"
"25","滋賀県","25201","大津市","252010052004","本堅田四丁目","35.119257","135.919213","2","3"
"25","滋賀県","25201","大津市","252010052005","本堅田五丁目","35.116745","135.913550","2","3"
"25","滋賀県","25201","大津市","252010052006","本堅田六丁目","35.118854","135.910259","2","3"
"25","滋賀県","25201","大津市","252010053001","衣川一丁目","35.107020","135.906840","2","3"
"25","滋賀県","25201","大津市","252010053002","衣川二丁目","35.111815","135.906387","2","3"
"25","滋賀県","25201","大津市","252010053003","衣川三丁目","35.116807","135.904330","2","3"
"25","滋賀県","25201","大津市","252010054001","今堅田一丁目","35.119606","135.926051","2","3"
"25","滋賀県","25201","大津市","252010054002","今堅田二丁目","35.123175","135.921158","2","3"
"25","滋賀県","25201","大津市","252010054003","今堅田三丁目","35.126270","135.927627","2","3"
"25","滋賀県","25201","大津市","252010055001","仰木一丁目","35.097698","135.889869","2","3"
"25","滋賀県","25201","大津市","252010055002","仰木二丁目","35.105501","135.875745","2","3"
"25","滋賀県","25201","大津市","252010055003","仰木三丁目","35.106046","135.883098","2","3"
"25","滋賀県","25201","大津市","252010055004","仰木四丁目","35.110663","135.880147","2","3"
"25","滋賀県","25201","大津市","252010055005","仰木五丁目","35.112514","135.886406","2","3"
"25","滋賀県","25201","大津市","252010055006","仰木六丁目","35.110952","135.886027","2","3"
"25","滋賀県","25201","大津市","252010055007","仰木七丁目","35.114748","135.889921","2","3"
"25","滋賀県","25201","大津市","252010056001","仰木の里一丁目","35.101810","135.890277","2","3"
"25","滋賀県","25201","大津市","252010056002","仰木の里二丁目","35.102605","135.885430","2","3"
"25","滋賀県","25201","大津市","252010056003","仰木の里三丁目","35.106390","135.888394","2","3"
"25","滋賀県","25201","大津市","252010056004","仰木の里四丁目","35.106584","135.891350","2","3"
"25","滋賀県","25201","大津市","252010056005","仰木の里五丁目","35.111425","135.891262","2","3"
"25","滋賀県","25201","大津市","252010056006","仰木の里六丁目","35.110113","135.892142","2","3"
"25","滋賀県","25201","大津市","252010056007","仰木の里七丁目","35.111799","135.895557","2","3"
"25","滋賀県","25201","大津市","252010057001","仰木の里東一丁目","35.101054","135.893810","2","3"
"25","滋賀県","25201","大津市","252010057002","仰木の里東二丁目","35.104110","135.897463","2","3"
"25","滋賀県","25201","大津市","252010057003","仰木の里東三丁目","35.106922","135.896089","2","3"
