"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"29","奈良県","29201","奈良市","292010001000","川之上突抜町","34.673892","135.831453","3","1"
"29","奈良県","29201","奈良市","292010002000","百万ヶ辻子町","34.682601","135.824537","3","1"
"29","奈良県","29201","奈良市","292010003000","北魚屋西町","34.687792","135.828622","3","1"
"29","奈良県","29201","奈良市","292010004000","東新在家町","34.688445","135.826834","3","1"
"29","奈良県","29201","奈良市","292010005000","南法蓮町","34.688823","135.827240","3","1"
"29","奈良県","29201","奈良市","292010006000","油阪地方町","34.682257","135.821419","3","1"
"29","奈良県","29201","奈良市","292010007000","中登美ヶ丘六丁目","34.723575","135.750718","3","1"
"29","奈良県","29201","奈良市","292010008000","帝塚山西一丁目","34.678560","135.727585","3","1"
"29","奈良県","29201","奈良市","292010009000","帝塚山西二丁目","34.679888","135.726548","3","1"
"29","奈良県","29201","奈良市","292010010000","横井町","34.645863","135.828381","3","1"
"29","奈良県","29201","奈良市","292010011000","月ヶ瀬石打","34.721477","136.061911","3","1"
"29","奈良県","29201","奈良市","292010012000","月ヶ瀬尾山","34.709065","136.047988","3","1"
"29","奈良県","29201","奈良市","292010013000","月ヶ瀬長引","34.712052","136.032034","3","1"
"29","奈良県","29201","奈良市","292010014000","月ヶ瀬嵩","34.700897","136.027216","3","1"
"29","奈良県","29201","奈良市","292010015000","月ヶ瀬月瀬","34.702981","136.023568","3","1"
"29","奈良県","29201","奈良市","292010016000","月ヶ瀬桃香野","34.697207","135.998335","3","1"
"29","奈良県","29201","奈良市","292010017000","針ヶ別所町","34.623636","135.965935","3","1"
"29","奈良県","29201","奈良市","292010018000","小倉町","34.616650","135.982166","3","1"
"29","奈良県","29201","奈良市","292010019000","上深川町","34.632309","135.986436","3","1"
"29","奈良県","29201","奈良市","292010020000","下深川町","34.655693","135.982512","3","1"
"29","奈良県","29201","奈良市","292010021000","荻町","34.647730","135.968559","3","1"
"29","奈良県","29201","奈良市","292010022000","都祁馬場町","34.633902","135.948909","3","1"
