"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"46","鹿児島県","46201","鹿児島市","462010001001","荒田一丁目","31.575450","130.550582","0","3"
"46","鹿児島県","46201","鹿児島市","462010001002","荒田二丁目","31.571219","130.549504","0","3"
"46","鹿児島県","46201","鹿児島市","462010002000","有村町","31.552074","130.681045","0","0"
"46","鹿児島県","46201","鹿児島市","462010003000","有屋田町","31.665059","130.445704","0","0"
"46","鹿児島県","46201","鹿児島市","462010004000","池之上町","31.610510","130.561440","0","0"
"46","鹿児島県","46201","鹿児島市","462010005001","伊敷一丁目","31.618313","130.525651","0","3"
"46","鹿児島県","46201","鹿児島市","462010005002","伊敷二丁目","31.619362","130.531208","0","3"
"46","鹿児島県","46201","鹿児島市","462010005003","伊敷三丁目","31.624470","130.529645","0","3"
"46","鹿児島県","46201","鹿児島市","462010005004","伊敷四丁目","31.630774","130.533169","0","3"
"46","鹿児島県","46201","鹿児島市","462010005005","伊敷五丁目","31.627066","130.528150","0","3"
"46","鹿児島県","46201","鹿児島市","462010005006","伊敷六丁目","31.622157","130.524044","0","3"
"46","鹿児島県","46201","鹿児島市","462010005007","伊敷七丁目","31.629769","130.518894","0","3"
"46","鹿児島県","46201","鹿児島市","462010005008","伊敷八丁目","31.631391","130.523863","0","3"
"46","鹿児島県","46201","鹿児島市","462010006001","伊敷台一丁目","31.623425","130.535063","0","3"
"46","鹿児島県","46201","鹿児島市","462010006002","伊敷台二丁目","31.625495","130.533800","0","3"
"46","鹿児島県","46201","鹿児島市","462010006003","伊敷台三丁目","31.629143","130.533394","0","3"
"46","鹿児島県","46201","鹿児島市","462010006004","伊敷台四丁目","31.630822","130.540546","0","3"
"46","鹿児島県","46201","鹿児島市","462010006005","伊敷台五丁目","31.628444","130.539849","0","3"
"46","鹿児島県","46201","鹿児島市","462010006006","伊敷台六丁目","31.627451","130.543702","0","3"
"46","鹿児島県","46201","鹿児島市","462010006007","伊敷台七丁目","31.627936","130.550148","0","3"
"46","鹿児島県","46201","鹿児島市","462010007000","伊敷町","31.634360","130.516965","0","0"
"46","鹿児島県","46201","鹿児島市","462010008000","石谷町","31.611432","130.459438","0","0"
"46","鹿児島県","46201","鹿児島市","462010009000","泉町","31.593117","130.560048","0","0"
"46","鹿児島県","46201","鹿児島市","462010010000","稲荷町","31.612630","130.569355","0","0"
"46","鹿児島県","46201","鹿児島市","462010011000","犬迫町","31.629108","130.488146","0","0"
"46","鹿児島県","46201","鹿児島市","462010012000","入佐町","31.578561","130.401047","0","0"
"46","鹿児島県","46201","鹿児島市","462010013000","上荒田町","31.575102","130.542044","0","0"
"46","鹿児島県","46201","鹿児島市","462010014000","上之園町","31.580984","130.546399","0","0"
"46","鹿児島県","46201","鹿児島市","462010015000","魚見町","31.541029","130.524640","0","0"
"46","鹿児島県","46201","鹿児島市","462010016001","宇宿一丁目","31.548263","130.541288","0","3"
"46","鹿児島県","46201","鹿児島市","462010016002","宇宿二丁目","31.540864","130.542789","0","3"
"46","鹿児島県","46201","鹿児島市","462010016003","宇宿三丁目","31.542408","130.537239","0","3"
"46","鹿児島県","46201","鹿児島市","462010016004","宇宿四丁目","31.546660","130.536172","0","3"
"46","鹿児島県","46201","鹿児島市","462010016005","宇宿五丁目","31.544758","130.533440","0","3"
"46","鹿児島県","46201","鹿児島市","462010016006","宇宿六丁目","31.550544","130.528520","0","3"
"46","鹿児島県","46201","鹿児島市","462010016007","宇宿七丁目","31.553012","130.528512","0","3"
"46","鹿児島県","46201","鹿児島市","462010016008","宇宿八丁目","31.556719","130.524634","0","3"
"46","鹿児島県","46201","鹿児島市","462010016009","宇宿九丁目","31.555713","130.522437","0","3"
"46","鹿児島県","46201","鹿児島市","462010017000","宇宿町","31.554126","130.519109","0","0"
"46","鹿児島県","46201","鹿児島市","462010018000","岡之原町","31.660718","130.539481","0","0"
"46","鹿児島県","46201","鹿児島市","462010019000","小川町","31.599105","130.561413","0","0"
"46","鹿児島県","46201","鹿児島市","462010020001","小野一丁目","31.610448","130.529880","0","3"
"46","鹿児島県","46201","鹿児島市","462010020002","小野二丁目","31.615945","130.525036","0","3"
"46","鹿児島県","46201","鹿児島市","462010020003","小野三丁目","31.615522","130.510406","0","3"
"46","鹿児島県","46201","鹿児島市","462010020004","小野四丁目","31.607836","130.518836","0","3"
"46","鹿児島県","46201","鹿児島市","462010021000","小野町","31.606555","130.505910","0","0"
"46","鹿児島県","46201","鹿児島市","462010022000","小原町","31.542884","130.524700","0","0"
"46","鹿児島県","46201","鹿児島市","462010023000","卸本町","31.515447","130.521335","0","0"
"46","鹿児島県","46201","鹿児島市","462010024000","加治屋町","31.586127","130.549524","0","0"
"46","鹿児島県","46201","鹿児島市","462010025000","春日町","31.605897","130.565586","0","0"
"46","鹿児島県","46201","鹿児島市","462010026000","上竜尾町","31.609371","130.557638","0","0"
"46","鹿児島県","46201","鹿児島市","462010027000","上谷口町","31.595681","130.438236","0","0"
"46","鹿児島県","46201","鹿児島市","462010028000","上福元町","31.527834","130.498506","0","0"
"46","鹿児島県","46201","鹿児島市","462010029000","上本町","31.602345","130.560922","0","0"
"46","鹿児島県","46201","鹿児島市","462010030001","鴨池一丁目","31.565719","130.548198","0","3"
"46","鹿児島県","46201","鹿児島市","462010030002","鴨池二丁目","31.564766","130.553148","0","3"
"46","鹿児島県","46201","鹿児島市","462010031000","鴨池新町","31.554768","130.558263","0","0"
"46","鹿児島県","46201","鹿児島市","462010032000","川上町","31.659065","130.562447","0","0"
"46","鹿児島県","46201","鹿児島市","462010033000","川田町","31.672439","130.503502","0","0"
"46","鹿児島県","46201","鹿児島市","462010034000","喜入瀬々串町","31.416676","130.510316","0","0"
"46","鹿児島県","46201","鹿児島市","462010035000","喜入町","31.363983","130.540214","0","0"
"46","鹿児島県","46201","鹿児島市","462010036000","喜入中名町","31.386760","130.533203","0","0"
"46","鹿児島県","46201","鹿児島市","462010037000","喜入生見町","31.309994","130.552105","0","0"
"46","鹿児島県","46201","鹿児島市","462010038000","喜入一倉町","31.353295","130.513105","0","0"
"46","鹿児島県","46201","鹿児島市","462010039000","喜入前之浜町","31.335428","130.541134","0","0"
"46","鹿児島県","46201","鹿児島市","462010040000","祇園之洲町","31.605714","130.573081","0","0"
"46","鹿児島県","46201","鹿児島市","462010041000","希望ヶ丘町","31.538097","130.515474","0","0"
"46","鹿児島県","46201","鹿児島市","462010042001","錦江台一丁目","31.503717","130.495796","0","3"
"46","鹿児島県","46201","鹿児島市","462010042002","錦江台二丁目","31.503053","130.498868","0","3"
"46","鹿児島県","46201","鹿児島市","462010042003","錦江台三丁目","31.499378","130.496493","0","3"
"46","鹿児島県","46201","鹿児島市","462010043000","錦江町","31.576119","130.566431","0","0"
"46","鹿児島県","46201","鹿児島市","462010044000","金生町","31.592935","130.557497","0","0"
"46","鹿児島県","46201","鹿児島市","462010045000","黒神町","31.581158","130.677101","0","0"
"46","鹿児島県","46201","鹿児島市","462010046001","花野光ヶ丘一丁目","31.650888","130.528853","0","3"
