"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"18","福井県","18201","福井市","182010001001","グリーンハイツ一丁目","36.045657","136.159505","2","3"
"18","福井県","18201","福井市","182010001002","グリーンハイツ二丁目","36.044708","136.159524","2","3"
"18","福井県","18201","福井市","182010001003","グリーンハイツ三丁目","36.044857","136.163885","2","3"
"18","福井県","18201","福井市","182010001004","グリーンハイツ四丁目","36.044083","136.163793","2","3"
"18","福井県","18201","福井市","182010001005","グリーンハイツ五丁目","36.041065","136.165261","2","3"
"18","福井県","18201","福井市","182010001006","グリーンハイツ六丁目","36.042011","136.166154","2","3"
"18","福井県","18201","福井市","182010001007","グリーンハイツ七丁目","36.041060","136.166671","2","3"
"18","福井県","18201","福井市","182010001008","グリーンハイツ八丁目","36.041117","136.169165","2","3"
"18","福井県","18201","福井市","182010001009","グリーンハイツ九丁目","36.039918","136.167935","2","3"
"18","福井県","18201","福井市","182010001010","グリーンハイツ十丁目","36.038245","136.168929","2","3"
"18","福井県","18201","福井市","182010002001","つくし野一丁目","36.118796","136.216400","1","3"
"18","福井県","18201","福井市","182010002002","つくし野二丁目","36.116627","136.217770","1","3"
"18","福井県","18201","福井市","182010002003","つくし野三丁目","36.117345","136.211897","1","3"
"18","福井県","18201","福井市","182010003001","つくも一丁目","36.060777","136.214417","1","3"
"18","福井県","18201","福井市","182010003002","つくも二丁目","36.062714","136.209613","1","3"
"18","福井県","18201","福井市","182010004001","みのり一丁目","36.050047","136.216348","2","3"
"18","福井県","18201","福井市","182010004002","みのり二丁目","36.050860","136.212116","2","3"
"18","福井県","18201","福井市","182010004003","みのり三丁目","36.049691","136.210442","1","3"
"18","福井県","18201","福井市","182010004004","みのり四丁目","36.049103","136.205252","1","3"
"18","福井県","18201","福井市","182010005000","葵町","36.048462","136.213630","1","1"
"18","福井県","18201","福井市","182010006000","鮎川町","36.094386","136.035824","1","1"
"18","福井県","18201","福井市","182010007000","安原町","36.015799","136.277898","1","1"
"18","福井県","18201","福井市","182010008000","安竹町","36.096750","136.189032","1","1"
"18","福井県","18201","福井市","182010009000","安田町","36.062785","136.156362","1","1"
"18","福井県","18201","福井市","182010010000","安波賀中島町","36.014744","136.296567","1","1"
