"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"02","青森県","02201","青森市","022010001001","けやき一丁目","40.823668","140.801178","2","3"
"02","青森県","02201","青森市","022010001002","けやき二丁目","40.821650","140.798933","2","3"
"02","青森県","02201","青森市","022010002001","はまなす一丁目","40.824500","140.796380","2","3"
"02","青森県","02201","青森市","022010002002","はまなす二丁目","40.825167","140.797821","2","3"
"02","青森県","02201","青森市","022010003001","旭町一丁目","40.817004","140.736322","2","3"
"02","青森県","02201","青森市","022010003002","旭町二丁目","40.814463","140.738755","2","3"
"02","青森県","02201","青森市","022010003003","旭町三丁目","40.812051","140.739628","2","3"
"02","青森県","02201","青森市","022010004001","安方一丁目","40.829153","140.738521","2","3"
"02","青森県","02201","青森市","022010004002","安方二丁目","40.827781","140.742608","2","3"
"02","青森県","02201","青森市","022010005001","栄町一丁目","40.825080","140.765511","2","3"
"02","青森県","02201","青森市","022010005002","栄町二丁目","40.825899","140.772355","2","3"
"02","青森県","02201","青森市","022010006001","奥野一丁目","40.813748","140.757340","2","3"
"02","青森県","02201","青森市","022010006002","奥野二丁目","40.813576","140.762298","2","3"
"02","青森県","02201","青森市","022010006003","奥野三丁目","40.813766","140.764615","2","3"
"02","青森県","02201","青森市","022010006004","奥野四丁目","40.810384","140.759253","2","3"
"02","青森県","02201","青森市","022010007001","岡造道一丁目","40.825125","140.784832","2","3"
"02","青森県","02201","青森市","022010007002","岡造道二丁目","40.826543","140.787247","2","3"
"02","青森県","02201","青森市","022010007003","岡造道三丁目","40.826077","140.791757","2","3"
"02","青森県","02201","青森市","022010008001","沖館一丁目","40.833843","140.725864","2","3"
"02","青森県","02201","青森市","022010008003","沖館三丁目","40.837210","140.722105","2","3"
"02","青森県","02201","青森市","022010008004","沖館四丁目","40.836298","140.719668","2","3"
"02","青森県","02201","青森市","022010008005","沖館五丁目","40.834282","140.719520","2","3"
"02","青森県","02201","青森市","022010009000","卸町","40.782705","140.757648","1","1"
"02","青森県","02201","青森市","022010010001","花園一丁目","40.822458","140.766489","2","3"
"02","青森県","02201","青森市","022010010002","花園二丁目","40.823783","140.773924","2","3"
"02","青森県","02201","青森市","022010011001","久須志一丁目","40.822802","140.729343","2","3"
"02","青森県","02201","青森市","022010011002","久須志二丁目","40.821165","140.727972","2","3"
"02","青森県","02201","青森市","022010011003","久須志三丁目","40.819486","140.725913","2","3"
"02","青森県","02201","青森市","022010011004","久須志四丁目","40.818050","140.723377","2","3"
"02","青森県","02201","青森市","022010012001","橋本一丁目","40.824480","140.751917","2","3"
"02","青森県","02201","青森市","022010012002","橋本二丁目","40.821984","140.752180","2","3"
"02","青森県","02201","青森市","022010012003","橋本三丁目","40.819841","140.752061","2","3"
"02","青森県","02201","青森市","022010013001","金沢一丁目","40.813498","140.733992","2","3"
"02","青森県","02201","青森市","022010013002","金沢二丁目","40.814256","140.730476","2","3"
"02","青森県","02201","青森市","022010013003","金沢三丁目","40.811361","140.734764","2","3"
"02","青森県","02201","青森市","022010013004","金沢四丁目","40.810698","140.730633","2","3"
"02","青森県","02201","青森市","022010013005","金沢五丁目","40.811345","140.727311","2","3"
"02","青森県","02201","青森市","022010014001","桂木一丁目","40.811750","140.742900","2","3"
"02","青森県","02201","青森市","022010014002","桂木二丁目","40.811695","140.744479","2","3"
"02","青森県","02201","青森市","022010014003","桂木三丁目","40.810727","140.748084","2","3"
"02","青森県","02201","青森市","022010014004","桂木四丁目","40.810654","140.752956","2","3"
"02","青森県","02201","青森市","022010015001","原別一丁目","40.838392","140.801185","2","3"
"02","青森県","02201","青森市","022010015002","原別二丁目","40.838014","140.804183","2","3"
"02","青森県","02201","青森市","022010015003","原別三丁目","40.836611","140.806659","2","3"
"02","青森県","02201","青森市","022010015004","原別四丁目","40.839338","140.809408","2","3"
"02","青森県","02201","青森市","022010015005","原別五丁目","40.840811","140.807841","2","3"
"02","青森県","02201","青森市","022010015006","原別六丁目","40.843641","140.808261","2","3"
"02","青森県","02201","青森市","022010015007","原別七丁目","40.846830","140.812754","2","3"
"02","青森県","02201","青森市","022010015008","原別八丁目","40.843317","140.812295","2","3"
"02","青森県","02201","青森市","022010016001","古館一丁目","40.804589","140.779792","2","3"
"02","青森県","02201","青森市","022010017001","古川一丁目","40.825600","140.736263","2","3"
