"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"45","宮崎県","45201","宮崎市","452010001001","青島一丁目","31.803978","131.464137","0","3"
"45","宮崎県","45201","宮崎市","452010001002","青島二丁目","31.801144","131.467885","0","3"
"45","宮崎県","45201","宮崎市","452010001003","青島三丁目","31.796047","131.470438","0","3"
"45","宮崎県","45201","宮崎市","452010001004","青島四丁目","31.796114","131.468481","0","3"
"45","宮崎県","45201","宮崎市","452010001005","青島五丁目","31.791511","131.468922","0","3"
"45","宮崎県","45201","宮崎市","452010001006","青島六丁目","31.792265","131.472363","0","3"
"45","宮崎県","45201","宮崎市","452010002001","青島西一丁目","31.803409","131.459862","0","3"
"45","宮崎県","45201","宮崎市","452010002002","青島西二丁目","31.800245","131.465279","0","3"
"45","宮崎県","45201","宮崎市","452010003000","青葉町","31.920869","131.436667","0","0"
"45","宮崎県","45201","宮崎市","452010004001","旭一丁目","31.909293","131.426002","0","3"
"45","宮崎県","45201","宮崎市","452010004002","旭二丁目","31.909361","131.428351","0","3"
"45","宮崎県","45201","宮崎市","452010005000","吾妻町","31.903785","131.432252","0","0"
"45","宮崎県","45201","宮崎市","452010006000","阿波岐原町","31.939431","131.459879","0","0"
"45","宮崎県","45201","宮崎市","452010007001","生目台西一丁目","31.909719","131.374262","0","3"
"45","宮崎県","45201","宮崎市","452010007002","生目台西二丁目","31.906058","131.372558","0","3"
"45","宮崎県","45201","宮崎市","452010007003","生目台西三丁目","31.907625","131.370245","0","3"
"45","宮崎県","45201","宮崎市","452010007004","生目台西四丁目","31.903186","131.371411","0","3"
"45","宮崎県","45201","宮崎市","452010007005","生目台西五丁目","31.901334","131.370070","0","3"
"45","宮崎県","45201","宮崎市","452010008001","生目台東一丁目","31.903502","131.383600","0","3"
"45","宮崎県","45201","宮崎市","452010008002","生目台東二丁目","31.901781","131.380137","0","3"
"45","宮崎県","45201","宮崎市","452010008003","生目台東三丁目","31.901145","131.376201","0","3"
"45","宮崎県","45201","宮崎市","452010008004","生目台東四丁目","31.905627","131.377382","0","3"
"45","宮崎県","45201","宮崎市","452010008005","生目台東五丁目","31.907101","131.381244","0","3"
"45","宮崎県","45201","宮崎市","452010009000","池内町","31.972979","131.416640","0","0"
"45","宮崎県","45201","宮崎市","452010010000","一の宮町","31.906553","131.444529","0","0"
"45","宮崎県","45201","宮崎市","452010011000","浮城町","31.930072","131.437779","0","0"
"45","宮崎県","45201","宮崎市","452010012000","永楽町","31.906003","131.433505","0","0"
"45","宮崎県","45201","宮崎市","452010013000","江平中町","31.923474","131.427294","0","0"
"45","宮崎県","45201","宮崎市","452010014001","江平西一丁目","31.926083","131.424793","0","3"
"45","宮崎県","45201","宮崎市","452010014002","江平西二丁目","31.929658","131.426286","0","3"
"45","宮崎県","45201","宮崎市","452010015001","江平東一丁目","31.927026","131.427210","0","3"
"45","宮崎県","45201","宮崎市","452010015002","江平東二丁目","31.930055","131.428452","0","3"
"45","宮崎県","45201","宮崎市","452010016000","江平東町","31.925392","131.429084","0","0"
"45","宮崎県","45201","宮崎市","452010017001","江平町一丁目","31.924103","131.425945","0","3"
"45","宮崎県","45201","宮崎市","452010018001","老松一丁目","31.911817","131.430856","0","3"
"45","宮崎県","45201","宮崎市","452010018002","老松二丁目","31.913574","131.431189","0","3"
"45","宮崎県","45201","宮崎市","452010019000","大字赤江","31.878836","131.448757","0","0"
"45","宮崎県","45201","宮崎市","452010020000","大字跡江","31.944673","131.385805","0","0"
"45","宮崎県","45201","宮崎市","452010021000","大字有田","31.948960","131.371141","0","0"
"45","宮崎県","45201","宮崎市","452010022000","大字生目","31.910732","131.369287","0","0"
"45","宮崎県","45201","宮崎市","452010023000","大字糸原","31.960341","131.357796","0","0"
"45","宮崎県","45201","宮崎市","452010024000","大字浮田","31.922773","131.379017","0","0"
"45","宮崎県","45201","宮崎市","452010025000","大字内海","31.748421","131.439376","0","0"
"45","宮崎県","45201","宮崎市","452010026000","大字瓜生野","31.984175","131.394637","0","0"
"45","宮崎県","45201","宮崎市","452010027000","大字大瀬町","31.987213","131.382750","0","0"
"45","宮崎県","45201","宮崎市","452010028000","大字折生迫","31.786119","131.462285","0","0"
"45","宮崎県","45201","宮崎市","452010029000","大字加江田","31.799716","131.430289","0","0"
"45","宮崎県","45201","宮崎市","452010030000","大字鏡洲","31.801279","131.380129","0","0"
"45","宮崎県","45201","宮崎市","452010031000","大字柏原","31.937854","131.370783","0","0"
"45","宮崎県","45201","宮崎市","452010032000","大字金崎","31.970117","131.362025","0","0"
"45","宮崎県","45201","宮崎市","452010033000","大字上北方","31.963962","131.405298","0","0"
"45","宮崎県","45201","宮崎市","452010034000","大字熊野","31.832978","131.441922","0","0"
"45","宮崎県","45201","宮崎市","452010035000","大字郡司分","31.855127","131.416320","0","0"
"45","宮崎県","45201","宮崎市","452010036000","大字小松","31.937302","131.402036","0","0"
"45","宮崎県","45201","宮崎市","452010037000","大字塩路","31.977809","131.473563","0","0"
"45","宮崎県","45201","宮崎市","452010038000","大字島之内","31.987792","131.454826","0","0"
"45","宮崎県","45201","宮崎市","452010039000","大字田吉","31.864439","131.449119","0","0"
"45","宮崎県","45201","宮崎市","452010040000","大字堤内","31.969783","131.346914","0","0"
"45","宮崎県","45201","宮崎市","452010041000","大字恒久","31.887745","131.407668","0","0"
"45","宮崎県","45201","宮崎市","452010042000","大字富吉","31.936562","131.353471","0","0"
"45","宮崎県","45201","宮崎市","452010043000","大字長嶺","31.923403","131.356183","0","0"
"45","宮崎県","45201","宮崎市","452010044000","大字新名爪","31.979863","131.425807","0","0"
"45","宮崎県","45201","宮崎市","452010045000","大字広原","31.998589","131.425836","0","0"
"45","宮崎県","45201","宮崎市","452010046000","大字芳士","31.965897","131.444767","0","0"
"45","宮崎県","45201","宮崎市","452010047000","大字細江","31.895298","131.342285","0","0"
"45","宮崎県","45201","宮崎市","452010048000","大字本郷北方","31.871156","131.427898","0","0"
"45","宮崎県","45201","宮崎市","452010049000","大字本郷南方","31.860457","131.436094","0","0"
"45","宮崎県","45201","宮崎市","452010050000","大字吉野","31.973456","131.335205","0","0"
"45","宮崎県","45201","宮崎市","452010051000","大島町","31.939104","131.438813","0","0"
"45","宮崎県","45201","宮崎市","452010052001","太田一丁目","31.903643","131.422578","0","3"
"45","宮崎県","45201","宮崎市","452010052002","太田二丁目","31.901661","131.421570","0","3"
"45","宮崎県","45201","宮崎市","452010052003","太田三丁目","31.899730","131.421303","0","3"
"45","宮崎県","45201","宮崎市","452010052004","太田四丁目","31.897587","131.420732","0","3"
"45","宮崎県","45201","宮崎市","452010053001","大塚台西一丁目","31.921608","131.386060","0","3"
"45","宮崎県","45201","宮崎市","452010053002","大塚台西二丁目","31.916260","131.382476","0","3"
"45","宮崎県","45201","宮崎市","452010053003","大塚台西三丁目","31.909623","131.382862","0","3"
"45","宮崎県","45201","宮崎市","452010054001","大塚台東一丁目","31.919610","131.387097","0","3"
"45","宮崎県","45201","宮崎市","452010054002","大塚台東二丁目","31.912422","131.384488","0","3"
"45","宮崎県","45201","宮崎市","452010055000","大塚町","31.916907","131.396303","0","0"
"45","宮崎県","45201","宮崎市","452010056000","大坪町","31.905691","131.406577","0","0"
"45","宮崎県","45201","宮崎市","452010057001","大坪西一丁目","31.897925","131.405188","0","3"
"45","宮崎県","45201","宮崎市","452010057002","大坪西二丁目","31.897202","131.403186","0","3"
"45","宮崎県","45201","宮崎市","452010058001","大坪東一丁目","31.903045","131.409106","0","3"
"45","宮崎県","45201","宮崎市","452010058002","大坪東二丁目","31.899451","131.408113","0","3"
"45","宮崎県","45201","宮崎市","452010058003","大坪東三丁目","31.897487","131.408473","0","3"
"45","宮崎県","45201","宮崎市","452010059001","大橋一丁目","31.920177","131.414700","0","3"
"45","宮崎県","45201","宮崎市","452010059002","大橋二丁目","31.920728","131.411641","0","3"
"45","宮崎県","45201","宮崎市","452010059003","大橋三丁目","31.921646","131.407025","0","3"
"45","宮崎県","45201","宮崎市","452010060001","大淀一丁目","31.901768","131.424658","0","3"
