"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"08","茨城県","08201","水戸市","082010001001","けやき台一丁目","36.337796","140.489680","1","3"
"08","茨城県","08201","水戸市","082010001002","けやき台二丁目","36.336053","140.491064","1","3"
"08","茨城県","08201","水戸市","082010002001","ちとせ一丁目","36.395141","140.457424","1","3"
"08","茨城県","08201","水戸市","082010002002","ちとせ二丁目","36.400714","140.454455","1","3"
"08","茨城県","08201","水戸市","082010004001","栄町一丁目","36.383172","140.459306","1","3"
"08","茨城県","08201","水戸市","082010005000","塩崎町","36.333935","140.553814","1","1"
"08","茨城県","08201","水戸市","082010006000","下国井町","36.427680","140.432053","1","1"
"08","茨城県","08201","水戸市","082010007000","下大野町","36.349203","140.552703","1","1"
"08","茨城県","08201","水戸市","082010008000","下入野町","36.310027","140.519588","1","1"
"08","茨城県","08201","水戸市","082010009000","下野町","36.325128","140.384077","1","1"
"08","茨城県","08201","水戸市","082010010000","加倉井町","36.395317","140.383710","1","1"
"08","茨城県","08201","水戸市","082010011002","河和田二丁目","36.378001","140.406317","1","3"
"08","茨城県","08201","水戸市","082010012000","河和田町","36.360287","140.406774","1","1"
"08","茨城県","08201","水戸市","082010013000","開江町","36.403799","140.401809","1","1"
"08","茨城県","08201","水戸市","082010014000","笠原町","36.342240","140.450378","1","1"
"08","茨城県","08201","水戸市","082010015000","萱場町","36.344649","140.401674","1","1"
"08","茨城県","08201","水戸市","082010017000","岩根町","36.450007","140.420008","1","1"
"08","茨城県","08201","水戸市","082010018000","吉沼町","36.366859","140.518133","1","1"
"08","茨城県","08201","水戸市","082010019000","吉沢町","36.328894","140.462313","1","1"
"08","茨城県","08201","水戸市","082010021001","宮町一丁目","36.370621","140.476916","1","3"
"08","茨城県","08201","水戸市","082010022000","宮内町","36.361337","140.482922","1","1"
"08","茨城県","08201","水戸市","082010024000","金谷町","36.377807","140.382893","1","1"
"08","茨城県","08201","水戸市","082010025001","金町一丁目","36.382297","140.470420","1","3"
"08","茨城県","08201","水戸市","082010025002","金町二丁目","36.383383","140.466416","1","3"
"08","茨城県","08201","水戸市","082010025003","金町三丁目","36.385264","140.463877","1","3"
"08","茨城県","08201","水戸市","082010026000","栗崎町","36.344535","140.519665","1","1"
"08","茨城県","08201","水戸市","082010027001","見川一丁目","36.373499","140.448424","1","3"
"08","茨城県","08201","水戸市","082010027002","見川二丁目","36.373932","140.439855","1","3"
"08","茨城県","08201","水戸市","082010027003","見川三丁目","36.366373","140.442817","1","3"
"08","茨城県","08201","水戸市","082010027004","見川四丁目","36.365237","140.435561","1","3"
"08","茨城県","08201","水戸市","082010027005","見川五丁目","36.370890","140.429011","1","3"
"08","茨城県","08201","水戸市","082010028000","見川町","36.357781","140.434448","1","1"
"08","茨城県","08201","水戸市","082010029001","見和一丁目","36.379683","140.442282","1","3"
"08","茨城県","08201","水戸市","082010029002","見和二丁目","36.376922","140.433170","1","3"
"08","茨城県","08201","水戸市","082010029003","見和三丁目","36.375414","140.424175","1","3"
"08","茨城県","08201","水戸市","082010030000","元吉田町","36.350364","140.479059","1","1"
"08","茨城県","08201","水戸市","082010031001","元山町一丁目","36.379237","140.457317","1","3"
"08","茨城県","08201","水戸市","082010031002","元山町二丁目","36.377582","140.452383","1","3"
"08","茨城県","08201","水戸市","082010032000","元石川町","36.326377","140.501362","1","1"
"08","茨城県","08201","水戸市","082010033000","元台町","36.357909","140.482597","1","1"
"08","茨城県","08201","水戸市","082010034001","袴塚一丁目","36.395109","140.450213","1","3"
"08","茨城県","08201","水戸市","082010034002","袴塚二丁目","36.396787","140.446890","1","3"
"08","茨城県","08201","水戸市","082010034003","袴塚三丁目","36.398847","140.443461","1","3"
"08","茨城県","08201","水戸市","082010036000","五平町","36.347453","140.355183","1","1"
"08","茨城県","08201","水戸市","082010037000","鯉淵町","36.337307","140.363084","1","1"
"08","茨城県","08201","水戸市","082010038000","高田町","36.334789","140.396510","1","1"
"08","茨城県","08201","水戸市","082010040001","根本一丁目","36.382525","140.476521","1","3"
"08","茨城県","08201","水戸市","082010040002","根本二丁目","36.386079","140.471808","1","3"
"08","茨城県","08201","水戸市","082010040003","根本三丁目","36.387739","140.467722","1","3"
"08","茨城県","08201","水戸市","082010040004","根本四丁目","36.390238","140.464681","1","3"
"08","茨城県","08201","水戸市","082010044002","桜川二丁目","36.368645","140.480075","1","3"
"08","茨城県","08201","水戸市","082010045002","三の丸二丁目","36.374424","140.481550","1","3"
"08","茨城県","08201","水戸市","082010045003","三の丸三丁目","36.372009","140.484682","1","3"
"08","茨城県","08201","水戸市","082010046000","三湯町","36.370349","140.346251","1","1"
"08","茨城県","08201","水戸市","082010047000","三野輪町","36.396565","140.361829","1","1"
"08","茨城県","08201","水戸市","082010052000","秋成町","36.310399","140.531754","1","1"
"08","茨城県","08201","水戸市","082010053000","住吉町","36.334245","140.474689","1","1"
"08","茨城県","08201","水戸市","082010054000","渋井町","36.363405","140.507499","1","1"
"08","茨城県","08201","水戸市","082010055000","曙町","36.394987","140.444767","1","1"
"08","茨城県","08201","水戸市","082010056000","小吹町","36.344032","140.423827","1","1"
"08","茨城県","08201","水戸市","082010057000","小泉町","36.342948","140.572523","1","1"
"08","茨城県","08201","水戸市","082010058000","小林町","36.356344","140.350053","1","1"
"08","茨城県","08201","水戸市","082010059001","松が丘一丁目","36.386197","140.437712","1","3"
"08","茨城県","08201","水戸市","082010060000","松本町","36.392810","140.456514","1","1"
"08","茨城県","08201","水戸市","082010061000","上河内町","36.419324","140.455703","1","1"
"08","茨城県","08201","水戸市","082010062000","上国井町","36.443313","140.441355","1","1"
"08","茨城県","08201","水戸市","082010063002","上水戸二丁目","36.389514","140.447706","1","3"
"08","茨城県","08201","水戸市","082010064003","城東三丁目","36.372007","140.498958","1","3"
"08","茨城県","08201","水戸市","082010064005","城東五丁目","36.376491","140.499418","1","3"
"08","茨城県","08201","水戸市","082010066000","常磐町","36.372861","140.454162","1","1"
