"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"11","埼玉県","11101","さいたま市西区","111010001000","プラザ","35.908045","139.577467","1","1"
"11","埼玉県","11101","さいたま市西区","111010002000","宮前町","35.927170","139.590037","1","1"
"11","埼玉県","11101","さいたま市西区","111010003005","三橋五丁目","35.908466","139.593465","1","3"
"11","埼玉県","11101","さいたま市西区","111010003006","三橋六丁目","35.917864","139.589670","1","3"
"11","埼玉県","11101","さいたま市西区","111010004000","大字高木","35.932889","139.574184","1","1"
"11","埼玉県","11101","さいたま市西区","111010005000","大字佐知川","35.902802","139.583911","1","1"
"11","埼玉県","11101","さいたま市西区","111010006000","大字三条町","35.886980","139.587011","1","1"
"11","埼玉県","11101","さいたま市西区","111010007000","大字指扇","35.916753","139.579451","1","1"
"11","埼玉県","11101","さいたま市西区","111010008000","大字指扇領辻","35.928318","139.559055","1","1"
"11","埼玉県","11101","さいたま市西区","111010009000","大字指扇領別所","35.921063","139.566481","1","1"
"11","埼玉県","11101","さいたま市西区","111010010000","大字昭和","35.884183","139.576757","1","1"
"11","埼玉県","11101","さいたま市西区","111010011000","大字植田谷本","35.888802","139.595195","1","1"
"11","埼玉県","11101","さいたま市西区","111010012000","大字植田谷本村新田","35.893824","139.562453","1","1"
"11","埼玉県","11101","さいたま市西区","111010013000","大字水判土","35.900190","139.592405","1","1"
"11","埼玉県","11101","さいたま市西区","111010014000","大字清河寺","35.934204","139.581981","1","1"
"11","埼玉県","11101","さいたま市西区","111010015000","大字西新井","35.941874","139.586375","1","1"
"11","埼玉県","11101","さいたま市西区","111010016000","大字西遊馬","35.907281","139.562748","1","1"
"11","埼玉県","11101","さいたま市西区","111010017000","大字中釘","35.934904","139.566474","1","1"
"11","埼玉県","11101","さいたま市西区","111010018000","大字塚本","35.877700","139.569754","1","1"
"11","埼玉県","11101","さいたま市西区","111010019000","大字土屋","35.910279","139.571164","1","1"
"11","埼玉県","11101","さいたま市西区","111010020000","大字島根","35.883571","139.593426","1","1"
"11","埼玉県","11101","さいたま市西区","111010021000","大字内野本郷","35.935301","139.593834","1","1"
"11","埼玉県","11101","さいたま市西区","111010022000","大字二ツ宮","35.889713","139.571527","1","1"
"11","埼玉県","11101","さいたま市西区","111010023000","大字飯田","35.897111","139.586387","1","1"
"11","埼玉県","11101","さいたま市西区","111010024000","大字飯田新田","35.886661","139.555402","1","1"
"11","埼玉県","11101","さいたま市西区","111010025000","大字平方領々家","35.924621","139.562280","1","1"
"11","埼玉県","11101","さいたま市西区","111010026000","大字宝来","35.924653","139.559066","1","1"
"11","埼玉県","11101","さいたま市西区","111010027000","大字峰岸","35.931190","139.556554","1","1"
"11","埼玉県","11101","さいたま市西区","111010028000","中野林","35.893560","139.585973","1","1"
"11","埼玉県","11101","さいたま市西区","111010029001","塚本町一丁目","35.880886","139.562319","1","3"
"11","埼玉県","11101","さいたま市西区","111010029002","塚本町二丁目","35.876989","139.563611","1","3"
"11","埼玉県","11101","さいたま市西区","111010029003","塚本町三丁目","35.873188","139.566595","1","3"
"11","埼玉県","11101","さいたま市西区","111010030001","湯木町一丁目","35.895002","139.554963","1","3"
"11","埼玉県","11101","さいたま市西区","111010030002","湯木町二丁目","35.897048","139.554038","1","3"
"11","埼玉県","11102","さいたま市北区","111020001001","吉野町一丁目","35.953887","139.612541","1","3"
"11","埼玉県","11102","さいたま市北区","111020001002","吉野町二丁目","35.960205","139.611452","1","3"
"11","埼玉県","11102","さいたま市北区","111020002001","宮原町一丁目","35.935926","139.620246","1","3"
"11","埼玉県","11102","さいたま市北区","111020002002","宮原町二丁目","35.942466","139.616120","1","3"
"11","埼玉県","11102","さいたま市北区","111020002003","宮原町三丁目","35.938848","139.610558","1","3"
"11","埼玉県","11102","さいたま市北区","111020002004","宮原町四丁目","35.948312","139.607590","1","3"
"11","埼玉県","11102","さいたま市北区","111020003002","櫛引町二丁目","35.920578","139.608372","1","3"
"11","埼玉県","11102","さいたま市北区","111020004001","見沼一丁目","35.925205","139.640341","1","3"
"11","埼玉県","11102","さいたま市北区","111020004002","見沼二丁目","35.931732","139.640088","1","3"
"11","埼玉県","11102","さいたま市北区","111020004003","見沼三丁目","35.939192","139.639321","1","3"
"11","埼玉県","11102","さいたま市北区","111020005000","今羽町","35.953271","139.622484","1","1"
"11","埼玉県","11102","さいたま市北区","111020006001","植竹町一丁目","35.926273","139.624266","1","3"
"11","埼玉県","11102","さいたま市北区","111020006002","植竹町二丁目","35.931302","139.626627","1","3"
