"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"04","宮城県","04101","仙台市青葉区","041010001000","あけぼの町","38.288548","140.864472","1","1"
"04","宮城県","04101","仙台市青葉区","041010002001","みやぎ台一丁目","38.305677","140.774656","1","3"
"04","宮城県","04101","仙台市青葉区","041010002002","みやぎ台二丁目","38.308340","140.772114","1","3"
"04","宮城県","04101","仙台市青葉区","041010002003","みやぎ台三丁目","38.311138","140.768656","1","3"
"04","宮城県","04101","仙台市青葉区","041010002004","みやぎ台四丁目","38.312027","140.765675","1","3"
"04","宮城県","04101","仙台市青葉区","041010002005","みやぎ台五丁目","38.313433","140.763152","1","3"
"04","宮城県","04101","仙台市青葉区","041010003001","愛子中央一丁目","38.272395","140.762708","2","3"
"04","宮城県","04101","仙台市青葉区","041010003002","愛子中央二丁目","38.275669","140.762712","2","3"
"04","宮城県","04101","仙台市青葉区","041010003003","愛子中央三丁目","38.275350","140.759361","2","3"
"04","宮城県","04101","仙台市青葉区","041010003004","愛子中央四丁目","38.274200","140.752628","2","3"
"04","宮城県","04101","仙台市青葉区","041010003005","愛子中央五丁目","38.273384","140.755429","2","3"
"04","宮城県","04101","仙台市青葉区","041010003006","愛子中央六丁目","38.272175","140.757468","2","3"
"04","宮城県","04101","仙台市青葉区","041010004001","愛子東一丁目","38.271983","140.779315","1","3"
"04","宮城県","04101","仙台市青葉区","041010004002","愛子東二丁目","38.273382","140.775129","1","3"
"04","宮城県","04101","仙台市青葉区","041010004003","愛子東三丁目","38.274605","140.776572","1","3"
"04","宮城県","04101","仙台市青葉区","041010004004","愛子東四丁目","38.275804","140.770744","1","3"
"04","宮城県","04101","仙台市青葉区","041010004005","愛子東五丁目","38.275161","140.766706","1","3"
"04","宮城県","04101","仙台市青葉区","041010004006","愛子東六丁目","38.272215","140.767675","1","3"
"04","宮城県","04101","仙台市青葉区","041010005001","旭ケ丘一丁目","38.289124","140.884559","1","3"
"04","宮城県","04101","仙台市青葉区","041010005002","旭ケ丘二丁目","38.292176","140.887075","1","3"
"04","宮城県","04101","仙台市青葉区","041010005003","旭ケ丘三丁目","38.295388","140.887124","1","3"
"04","宮城県","04101","仙台市青葉区","041010005004","旭ケ丘四丁目","38.299265","140.886535","1","3"
"04","宮城県","04101","仙台市青葉区","041010006001","一番町一丁目","38.256869","140.873986","1","3"
"04","宮城県","04101","仙台市青葉区","041010006002","一番町二丁目","38.258840","140.872466","1","3"
"04","宮城県","04101","仙台市青葉区","041010006003","一番町三丁目","38.261068","140.872861","1","3"
"04","宮城県","04101","仙台市青葉区","041010006004","一番町四丁目","38.264185","140.871372","1","3"
